Unit_ID,geog_type,geog_id,Population,Latitude,Longitude
811964,blockgroup,220630403014,2385,30.61962438,-90.90869146
797464,blockgroup,61110043051,2388,34.16274439,-119.2079475
14740,blockgroup,202050974001,2389,37.45902979,-95.70387028
598676,blockgroup,340270404002,2390,40.99247006,-74.31682095
216748,blockgroup,60375300051,2390,34.02745978,-118.1052378
658332,blockgroup,340270404002,2390,40.99247006,-74.31682095
27561,blockgroup,270370608252,2392,44.75883929,-93.16381221
621706,blockgroup,290770044004,2393,37.26627007,-93.29479198
26984,blockgroup,410670324081,2393,45.52333604,-122.9069851
5289,blockgroup,80050865002,2394,39.58835446,-104.7323752
675990,blockgroup,350010007111,2395,35.07934666,-106.4871937
806332,blockgroup,480850310012,2395,33.1763451,-96.54301835
676058,blockgroup,350010037143,2396,35.13445684,-106.5822926
805952,blockgroup,170898507024,2396,42.09011917,-88.51007555
665724,blockgroup,391535323023,2397,41.14153583,-81.59976499
5483,blockgroup,100010412002,2397,39.12825159,-75.50206858
14419,blockgroup,391535323023,2397,41.14153583,-81.59976499
210366,blockgroup,360870113021,2398,41.09593554,-74.02563968
28712,blockgroup,390450326004,2398,39.58662435,-82.7742175
798430,blockgroup,90034603012,2399,41.7547875,-72.86678411
10257,blockgroup,60133451112,2399,37.76050394,-121.9485499
600898,blockgroup,10730127032,2399,33.46551064,-86.68014078
162396,blockgroup,511076118023,2402,38.91758265,-77.52834826
32432,blockgroup,212090402031,2402,38.19565917,-84.57565954
797776,blockgroup,181570102011,2403,40.53292001,-86.89316517
522,blockgroup,511539014031,2403,38.76692054,-77.50206681
248152,blockgroup,400836008004,2403,35.73258319,-97.44730565
7646,blockgroup,120570117081,2404,27.97215891,-82.56389125
805022,blockgroup,132070503011,2405,32.93999259,-83.95010469
7489,blockgroup,250277121021,2406,42.56633623,-71.70213177
658050,blockgroup,150030075051,2406,21.36330331,-157.9210728
6581,blockgroup,260937448001,2406,42.44511271,-83.68055664
14741,blockgroup,150030075051,2406,21.36330331,-157.9210728
811928,blockgroup,280870001012,2408,33.64859552,-88.3401311
12066,blockgroup,551110004012,2409,43.48189624,-89.69119324
213472,blockgroup,190490508072,2409,41.6111873,-93.86526212
215080,blockgroup,551110004012,2409,43.48189624,-89.69119324
11174,blockgroup,360710106001,2410,41.56972915,-74.2249293
8089,blockgroup,480291817261,2411,29.52989839,-98.70717008
7124,blockgroup,260810148051,2415,42.83360652,-85.63458548
5787,blockgroup,60372673002,2415,34.04445096,-118.4509444
8240,blockgroup,150030078112,2415,21.41129573,-157.8908372
214516,blockgroup,260810148051,2415,42.83360652,-85.63458548
615212,blockgroup,170898510002,2415,42.05332,-88.30405028
797164,blockgroup,10890108004,2417,34.76845403,-86.46331408
799314,blockgroup,10890108004,2417,34.76845403,-86.46331408
13256,blockgroup,530110401022,2417,45.85877855,-122.4441649
28798,blockgroup,481576743002,2417,29.57172343,-95.58180083
797104,blockgroup,511076110241,2419,39.00614098,-77.59313298
13081,blockgroup,511076110241,2419,39.00614098,-77.59313298
9073,blockgroup,61110027002,2420,34.27212251,-119.235539
11347,blockgroup,210059502021,2420,37.98414217,-84.90177102
217192,blockgroup,310550073151,2421,41.32167385,-96.11987691
32409,blockgroup,10539703001,2421,31.12049854,-87.27535664
799196,blockgroup,190879704002,2422,40.94447516,-91.52308809
26472,blockgroup,250214422012,2424,42.04696828,-71.43560535
11981,blockgroup,360550132051,2425,43.05588862,-77.68430573
216718,blockgroup,390930941001,2426,41.2328646,-82.14809491
12494,blockgroup,60590219182,2427,33.7920071,-117.7905548
210374,blockgroup,360550117062,2427,43.06199137,-77.45875124
